filename,sku,image_path,brand,name,description,price,currency,image_url,section,fabric,fibre
Zara_314769416-436-34_475.jpg,314769416-436-34,Zara_314769416-436-34_475.jpg,Zara,OVERDYED BAGGY JEANS,Baggy jeans. Five pockets. Colored washed effect. Front button closure.,69.9,USD,https://static.zara.net/photos///2024/V/0/2/p/3991/305/436/2/w/1920/3991305436_1_1_1.jpg?ts=1704281890864,MAN,denim,wool
Zara_314769448-811-32_1554.jpg,314769448-811-32,Zara_314769448-811-32_1554.jpg,Zara,MID-RISE TRF CARGO JEANS,"CARGO - MID-RISE

Mid-rise jeans with front pockets, and patch pockets at back and leg. Belt loop detail. Front zip and metal button closure.",59.9,USD,https://static.zara.net/photos///2024/V/0/1/p/8197/033/811/2/w/1920/8197033811_1_1_1.jpg?ts=1707053757078,WOMAN,denim,flax_linen
Zara_315075914-505-32_1577.jpg,315075914-505-32,Zara_315075914-505-32_1577.jpg,Zara,TRF MID WAIST CARGO BOYFRIEND JEANS,"MID WAIST - CARGO

Jeans with a mid waist with front pockets, back and leg patch pockets, and in-seam hidden pockets at knee. Front zip and metal button closure.",69.9,USD,https://static.zara.net/photos///2024/V/0/1/p/8197/036/505/2/w/1920/8197036505_1_1_1.jpg?ts=1707752890102,WOMAN,corduroy,flax_linen
Zara_315241755-800-2_763.jpg,315241755-800-2,Zara_315241755-800-2_763.jpg,Zara,BASIC SLIM FIT T-SHIRT,Slim fit shirt. Round neck and short sleeves.,19.9,USD,https://static.zara.net/photos///2024/V/0/2/p/5584/261/800/2/w/1920/5584261800_1_1_1.jpg?ts=1701435203369,MAN,denim,nylon
Zara_316608785-500-2_751.jpg,316608785-500-2,Zara_316608785-500-2_751.jpg,Zara,TEXT DETAIL HOODIE SWEATSHIRT,"Hoodie sweatshirt made of dense cotton with brushed interior. Collar with adjustable hood and long sleeves. Front pouch pocket. Rib trim.

Zara Athleticz.",45.9,USD,https://static.zara.net/photos///2024/V/0/2/p/6224/414/500/2/w/1920/6224414500_1_1_1.jpg?ts=1704875400768,MAN,lace,cotton
Zara_316715458-250-2_780.jpg,316715458-250-2,Zara_316715458-250-2_780.jpg,Zara,BASIC HEAVYWEIGHT T-SHIRT,Roomy T-shirt made of dense cotton. Round neck and short sleeves.,29.9,USD,https://static.zara.net/photos///2024/V/0/2/p/1887/450/250/2/w/1920/1887450250_1_1_1.jpg?ts=1705564324650,MAN,denim,viscose_rayon
Zara_316947922-406-32_1548.jpg,316947922-406-32,Zara_316947922-406-32_1548.jpg,Zara,TRF RIPPED BAGGY JEANS,"MID WAIST - BAGGY - RIPPED

Jeans with a mid waist with front pockets. Faux pocket washed effect and rips at back. Front zip and metal button closure.",49.9,USD,https://static.zara.net/photos///2024/V/0/1/p/8197/014/406/2/w/1920/8197014406_1_1_1.jpg?ts=1708082511691,WOMAN,denim,lyocell
Zara_317107014-707-2_56.jpg,317107014-707-2,Zara_317107014-707-2_56.jpg,Zara,TEXTURED WEAVE OVERSHIRT,Relaxed fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Side hidden in-seam pockets. Front button closure.,89.9,USD,https://static.zara.net/photos///2024/V/0/2/p/1608/101/707/2/w/1920/1608101707_1_1_1.jpg?ts=1704800281042,MAN,fleece,hemp
Zara_317894313-707-3_559.jpg,317894313-707-3,Zara_317894313-707-3_559.jpg,Zara,BRAIDED COLOR BLOCK SWEATER,Round neck long sleeve full cut sweater. Rib trim.,69.9,USD,https://static.zara.net/photos///2024/V/0/2/p/3284/412/707/2/w/1920/3284412707_1_1_1.jpg?ts=1707922962733,MAN,chambray,abaca
Zara_317894315-800-1_1097.jpg,317894315-800-1,Zara_317894315-800-1_1097.jpg,Zara,FAUX LEATHER BIKER JACKET,Lapel collar jacket with long sleeves with epaulettes. Front pockets with zip closure. Strap detail at hem. Front asymmetric zip closure.,69.9,USD,https://static.zara.net/photos///2024/V/0/1/p/4341/759/800/2/w/1920/4341759800_1_1_1.jpg?ts=1708098667737,WOMAN,velvet,leather
